username,rank,track_name,artist
SnowMexican94,8,Entering the Astral Kingdom of Ancient Woods,Saltare Maleficarum
SnowMexican94,9,Forestdance,Saltare Maleficarum
SnowMexican94,10,Reject Modernity,Saltare Maleficarum
dukehightop,1,Defying Gravity (feat. Ariana Grande),Cynthia Erivo
dukehightop,2,Popular,Ariana Grande
dukehightop,3,I’m Not That Girl,Cynthia Erivo
dukehightop,4,One Short Day (feat. Michael McCorry Rose),"Cynthia Erivo, Ariana Grande, Kristin Chenoweth & Idina Menzel"
dukehightop,5,A Sentimental Man,Jeff Goldblum
dukehightop,6,Kielbasa,Tenacious D
dukehightop,7,Ozdust Duet (Bonus Track),The Wicked Orchestra
dukehightop,8,What Is This Feeling?,Ariana Grande & Cynthia Erivo
dukehightop,9,The Wizard And I (feat. Michelle Yeoh),Cynthia Erivo
dukehightop,10,S.N.C,Darkside
neokid0298,1,I Don't Look Like Her,Daisy Clark
neokid0298,2,Human Diary,Danielle Bradbery
neokid0298,3,Love Song (For the Apocalypse),Ira Wolf
neokid0298,4,Stop Thinking so Much,Lenka
neokid0298,5,ode to a long-distance friend,Lighthearted
neokid0298,6,Girl in the Mirror,Abigail Fierce
neokid0298,7,You Let Me Down - Duke & Jones Remix,Alessia Cara
neokid0298,8,In My Blood,Alex Porat
neokid0298,9,Talking to Your Sunflowers - alexrainbirdSessions,alexrainbirdSessions
neokid0298,10,4 AM,Allegra Miles
lhommewalk,1,The Name of the Game,ABBA
lhommewalk,2,New York,Junior Varsity
lhommewalk,3,Butterfly,Marina
lhommewalk,4,You Make Me Happy In My Sorrow,Rocketship
lhommewalk,5,Autopsie d'un Complot,Ahmed Malek
lhommewalk,6,Bossa,Ahmed Malek
lhommewalk,7,Maya,Ahmed Malek
lhommewalk,8,Empty House,Air
lhommewalk,9,FLY,Aka Kelzz
lhommewalk,10,Back On You,Alex Vile
covrfeyrac,1,Heirloom,Demon Hyde
covrfeyrac,2,Basic Being Basic,Djo
covrfeyrac,3,You Can Call Me Al,Paul Simon
covrfeyrac,4,Into the Ocean,Blue October
covrfeyrac,5,Not Strong Enough,boygenius
covrfeyrac,6,Disloyal Order of Water Buffaloes,Fall Out Boy
covrfeyrac,7,Favourite,Fontaines D.C.
covrfeyrac,8,Image,Magdalena Bay
covrfeyrac,9,Ohio All The Time,Momma
covrfeyrac,10,Killing in the Name,Rage Against the Machine
alexownzyou,1,To Where You Are,Crisis Slave
alexownzyou,2,NOSFERATU,Dizasterpiece
alexownzyou,3,Sick Ride,Karen Dió
alexownzyou,4,Deer Dance,System of a Down
alexownzyou,5,Bum 41,CONVOLK
alexownzyou,6,Devour Hope,Crisis Slave
alexownzyou,7,Let It Die -All come to naught- - Bonus Track,Crisis Slave
alexownzyou,8,MORE,Dizasterpiece
alexownzyou,9,The Human Collective,For the Fallen Dreams
alexownzyou,10,Sketchy 180,Hella Sketchy
n3k0punk,1,INTERNET YAMERO,NEEDY GIRL OVERDOSE
n3k0punk,2,Growing Up,nettspend
n3k0punk,3,Królowa łez,Agnieszka Chylińska
n3k0punk,4,Nie Mogę Cię Zapomnieć - Radio Edit,Agnieszka Chylińska
n3k0punk,5,xXXxEMOWHOREZZxXXx,ANGELMANE
n3k0punk,6,ONE SECOND (feat. Yung Lean),Bladee
n3k0punk,7,Ak47,centurylink captain
n3k0punk,8,Sold me,Devstacks
n3k0punk,9,Play Em Like Atari,Drain Gang Archive
n3k0punk,10,Elskling,elusin
franzmesmer,1,Medicine Bottle,Red House Painters
franzmesmer,2,Heliosphan,Aphex Twin
franzmesmer,3,Empty Churches,Giles Corey
franzmesmer,4,No One is Ever Going to Want Me,Giles Corey
franzmesmer,5,Hunter,Have a Nice Life
franzmesmer,6,Who Would Leave Their Son Out in the Sun?,Have a Nice Life
franzmesmer,7,(Something),Planning for Burial
franzmesmer,8,FOMDJ,Playboi Carti
franzmesmer,9,CRANK,Playboi Carti
franzmesmer,10,Over fjell og gjennom torner,Darkthrone
Boodwazer,1,Designer Scars,Mute Prophet
Boodwazer,2,Supernaut,Turisas
Boodwazer,3,Break (Instrumental Version),Dust in Mind
Boodwazer,4,Empty (Instrumental Version),Dust in Mind
Boodwazer,5,Freefall (Instrumental Version),Dust in Mind
Boodwazer,6,Lost Control (Instrumental Version),Dust in Mind
Boodwazer,7,No Way Out (Instrumental Version),Dust in Mind
Boodwazer,8,Open Your Eyes,Dust in Mind
Boodwazer,9,Speak For The Voiceless (Instrumental Version),Dust in Mind
Boodwazer,10,Spreading Disease,Dust in Mind
toke81,1,Girl's Not Grey,AFI
toke81,2,Plateau of the Ages,Agalloch
toke81,3,Eclosion,Alcest
toke81,4,Kodama,Alcest
toke81,5,Degausser,Brand New
toke81,6,Limousine,Brand New
toke81,7,[ost] dreamseeker (Lyric Video),Bring Me the Horizon
toke81,8,Pray for Plagues,Bring Me the Horizon
